State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Himachal Pradesh,Kangra,Kangra(Baijnath),Bottle gourd,Bottle Gourd,FAQ,30/08/2025,3500,4000,3800
Himachal Pradesh,Kangra,Kangra(Baijnath),Brinjal,Brinjal,FAQ,30/08/2025,4300,4500,4400
Himachal Pradesh,Kangra,Kangra(Baijnath),Cucumbar(Kheera),Cucumbar,FAQ,30/08/2025,3000,3200,3100
Himachal Pradesh,Kangra,Kangra(Baijnath),Mousambi(Sweet Lime),Mousambi,Medium,30/08/2025,5200,5200,5200
Himachal Pradesh,Kangra,Kangra(Baijnath),Peas Wet,Other,FAQ,30/08/2025,13000,13000,13000
Himachal Pradesh,Kangra,Kangra(Baijnath),Potato,Potato,FAQ,30/08/2025,1600,2500,2000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bottle gourd,Bottle Gourd,FAQ,30/08/2025,3200,5000,4100
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Carrot,Carrot,FAQ,30/08/2025,3000,3200,3100
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cucumbar(Kheera),Cucumbar,FAQ,30/08/2025,3200,3800,3500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),French Beans (Frasbean),French Beans (Frasbean),FAQ,30/08/2025,12000,13000,12500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Guava,Guava,Medium,30/08/2025,5200,5800,5500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Mousambi(Sweet Lime),Mousambi,Medium,30/08/2025,5000,5200,5100
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Banana,Amruthapani,Medium,30/08/2025,4000,4500,4200
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Bhindi(Ladies Finger),Bhindi,FAQ,30/08/2025,4500,5000,4700
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Lemon,Lemon,FAQ,30/08/2025,6000,6500,6200
Himachal Pradesh,Shimla,Rohroo,Capsicum,Capsicum,FAQ,30/08/2025,4000,5000,4500
Himachal Pradesh,Shimla,Rohroo,Ginger(Green),Green Ginger,FAQ,30/08/2025,9000,10000,9500
Himachal Pradesh,Shimla,Rohroo,Tomato,Deshi,FAQ,30/08/2025,4500,5500,5000
Jammu and Kashmir,Srinagar,Parimpore,Pineapple,Pine Apple,Large,30/08/2025,8500,10000,9750
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,30/08/2025,4000,4500,4000
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,30/08/2025,8000,8700,8000
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,30/08/2025,4000,4500,4000
